@format:idx,R,R,P,P,P,P,tmin,tmax,rate
@common:user_Auv,user_alb,user_xi,user_AuvAv,user_rbinscale,user_rscale,user_Gstar,user_Auv_star,user_Gcomp,user_Auv_comp
275,CH2,O+,O,CH2+,,,1.00e+01,4.10e+04,9.70e-10
276,CH2,O2+,O2,CH2+,,,1.00e+01,4.10e+04,4.30e-10
277,CH2,OH+,OH,CH2+,,,1.00e+01,4.10e+04,4.80e-10
278,CH3+,C2H3,C2H3+,CH3,,,1.00e+01,3.00e+02,3.00e-10 * (Tgas / 3.0e2)**(-0.50)
279,CH3+,CH3COCH3,CH3COCH3+,CH3,,,1.00e+01,4.10e+04,2.40e-10 * (Tgas / 3.0e2)**(-0.50)
280,CH3+,Fe,Fe+,CH3,,,1.00e+01,4.10e+04,2.40e-09
281,CH3+,HCO,HCO+,CH3,,,1.00e+01,4.10e+04,4.40e-10 * (Tgas / 3.0e2)**(-0.50)
282,CH3+,Mg,Mg+,CH3,,,1.00e+01,4.10e+04,3.50e-09
283,CH3+,NO,NO+,CH3,,,1.00e+01,4.10e+04,1.00e-09
284,CH3+,Na,Na+,CH3,,,1.00e+01,4.10e+04,3.40e-09
285,CH3CH3+,H2S,H2S+,CH3CH3,,,1.00e+01,4.10e+04,1.98e-09 * (Tgas / 3.0e2)**(-0.50)
286,CH4+,C2H2,C2H2+,CH4,,,1.00e+01,4.10e+04,1.13e-09
287,CH4+,C2H4,C2H4+,CH4,,,1.00e+01,4.10e+04,1.38e-09
288,CH4+,CH3OH,CH3OH+,CH4,,,1.00e+01,4.10e+04,1.80e-09 * (Tgas / 3.0e2)**(-0.50)
289,CH4+,H2CO,H2CO+,CH4,,,1.00e+01,4.10e+04,1.62e-09 * (Tgas / 3.0e2)**(-0.50)
290,CH4+,H2S,H2S+,CH4,,,1.00e+01,4.10e+04,9.45e-10 * (Tgas / 3.0e2)**(-0.50)
291,CH4+,NH3,NH3+,CH4,,,1.00e+01,4.10e+04,1.65e-09 * (Tgas / 3.0e2)**(-0.50)
292,CH4+,O2,O2+,CH4,,,1.00e+01,4.10e+04,3.90e-10
293,CH4+,OCS,OCS+,CH4,,,1.00e+01,4.10e+04,4.20e-10
294,CH4,CO+,CO,CH4+,,,1.00e+01,4.10e+04,7.93e-10
295,CH4,CO2+,CO2,CH4+,,,1.00e+01,4.10e+04,5.50e-10
296,CH,C2+,C2,CH+,,,1.00e+01,4.10e+04,3.20e-10 * (Tgas / 3.0e2)**(-0.50)
297,CH,CN+,CN,CH+,,,1.00e+01,4.10e+04,6.40e-10 * (Tgas / 3.0e2)**(-0.50)
298,CH,CO+,CO,CH+,,,1.00e+01,4.10e+04,3.20e-10 * (Tgas / 3.0e2)**(-0.50)
